,"Cat./Support ratio, % (at)","Pore size, nm",width min (nm),width aver (nm),width max (nm),length min (nm),length aver (nm),length max (nm),"Cu, % (at.)","Cu+, % (at.)","Cu(2+), % (at.)","conc, M",pH,RHE vs V,"Time, h","Loading, μg/cm2","Add_carbon, %","Surface area of electrode, cm2","Flow rate CO2, ml/min","Av_volume, mkm^3",Ratio_sphere_volume,"Min_volume, mkm^3","Max_volume, mkm^3",1_efermi,1_density_atomic,1_total_magnetization_normalized_formula_units,1_energy_above_hull,1_energy_per_atom,1_volume,1_band_gap,2_efermi,2_density_atomic,2_total_magnetization_normalized_formula_units,2_energy_above_hull,2_energy_per_atom,2_volume,2_band_gap,Product_exactmw,Product_lipinskiHBA,Product_lipinskiHBD,Product_NumAtoms,Product_FractionCSP3,Product_CrippenClogP,Product_hallKierAlpha,Product_kappa2,Product_kappa3,anion_molar_conductance,anion_mobility,anion_diffusion_coefficient,anion_hydr_R_of_ion,Type of reactor_H-cell,Base_carbon paper electrode,Base_gasdiffusion electrode,FE
10,40.49,18.63,42.0,45.0,48.0,695.65,1111.26,1612.61,30.02,69.98,0.0,3.0,14.0,-1.1,1.0,20.0,80.0,1.5,5.0,0.0017673826651905,0.0606424185159716,0.0009637829778961,0.0029181103079647,5.6643077,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,6.47640097,34.02582510892988,0.0001557,0.050300225,-58.45197352,68.05165021785976,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,199.1,20.21,5.192,0.472,0.0,1.0,0.0,43.31764459158693
11,41.89,20.0,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,84.94,15.06,1.0,8.32,-1.24,1.0,1020.41,0.0,3.0,200.0,0.6167632874666666,0.6366197723675814,0.2077352141666666,1.3628349599666665,7.51858683,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,2.1667273,8.701897716280333,0.9999901,0.097853067499997,-5.204359017,87.01897716280334,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,0.0,0.0,43.26308030912858
12,41.89,20.0,3090.91,3372.73,4000.0,3090.91,3372.73,4000.0,90.0,10.0,0.0,1.0,6.9,-1.1,1.0,700.0,20.0,0.49,30.0,11.30364441910101,0.5626976975981914,8.700272179509907,18.856180831641268,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,4.47959619,15.02799459406926,0.3851734,0.0,-22.96045361,15.02799459406926,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,7.67,1.97,1.245,1.0,1.0,0.0,42.922546296772566
13,41.89,20.0,3090.91,3372.73,4000.0,3090.91,3372.73,4000.0,90.0,10.0,0.0,1.0,6.9,-1.1,1.0,700.0,20.0,0.49,30.0,11.30364441910101,0.5626976975981914,8.700272179509907,18.856180831641268,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,4.47959619,15.02799459406926,0.3851734,0.0,-22.96045361,15.02799459406926,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,7.67,1.97,1.245,1.0,1.0,0.0,42.922546296772566
14,23.04,18.63,923.08,1036.92,1153.85,923.08,1036.92,1153.85,0.0,81.66,18.34,1.0,6.9,-1.3,1.0,500.0,0.0,4.0,7.0,1.1148995843498883,0.3675525969478614,0.7865349476821121,1.5362010696916246,4.72796063,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,3.29833257,14.422554456959176,0.0,0.0,-8.910602605,28.845108913918352,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,199.1,7.67,1.97,1.245,1.0,0.0,0.0,42.827250589236414
15,88.6,217.5,2000.0,3200.0,3500.0,2000.0,3200.0,3500.0,92.68,7.32,0.0,1.0,8.32,-1.15,1.0,100.0,0.0,0.2,7.0,9.654364585800328,0.5626976975981913,2.3570226039551585,12.632168018072178,4.72796063,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,0.8923141,11.8492870649751,0.0,0.0,-4.894751419999999,47.397148259900405,0.7227,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,1.0,0.0,42.685034909423024
16,98.65,3.6,3090.91,3372.73,4000.0,3090.91,3372.73,4000.0,100.0,0.0,0.0,1.0,8.32,-1.12,1.0,204.08,12.17,0.19,10.0,11.30364441910101,0.5626976975981914,8.700272179509907,18.856180831641268,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,6.47640097,34.02582510892988,0.0001557,0.050300225,-58.45197352,68.05165021785976,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,1.0,0.0,42.520090330307355
17,41.89,20.0,3090.91,3372.73,4000.0,3090.91,3372.73,4000.0,90.0,5.0,95.0,0.5,7.2,-1.1,1.0,700.0,20.0,0.49,30.0,11.30364441910101,0.5626976975981914,8.700272179509907,18.856180831641268,4.17791244,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,1.27052682,16.358833917061403,0.0,0.0,-8.718163524249999,654.3533566824561,3.7823,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,4.353,1.118,2.193,1.0,1.0,0.0,42.35716258315527
18,41.89,20.0,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,92.19,7.81,1.0,14.0,-1.24,1.0,1020.41,0.0,3.0,200.0,0.6167632874666666,0.6366197723675814,0.2077352141666666,1.3628349599666665,7.51858683,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,20.21,5.192,0.472,0.0,0.0,0.0,41.90796556203371
19,34.5,20.0,459.5,810.75,1162.0,459.5,810.75,1162.0,30.0,70.0,0.0,0.1,6.8,-1.3,1.0,4444.44,0.0,1.5,40.0,0.532918592296875,0.3675525969478614,0.097018944875,1.568983528,4.72796063,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,5.49246722,16.727671246666244,1.666666666666666e-08,0.000130182499997,-9.718071849166668,200.7320549599949,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,1.0,0.0,41.861102736925574
20,84.48,217.5,23.86,34.91,45.95,23.86,34.91,45.95,0.0,5.0,95.0,0.1,6.8,-0.97,1.0,1000.0,80.0,0.19,50.0,2.227656214780306e-05,1.0,7.1122979239152266e-06,5.0799000746388864e-05,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,6.47640097,34.02582510892988,0.0001557,0.050300225,-58.45197352,68.05165021785976,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,1.0,0.0,41.53979675077119
21,93.0,108.0,25.0,25.0,25.0,187.5,340.28,479.17,85.0,0.0,15.0,1.0,8.32,-1.31,1.0,713.19,0.0,0.2,7.0,0.0001670345544005,0.1096117129386808,9.203884727313846e-05,0.0002352120237219,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,6.47640097,34.02582510892988,0.0001557,0.050300225,-58.45197352,68.05165021785976,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,1.0,41.17395574765462
22,93.33,217.5,634.8,938.05,1241.3,634.8,938.05,1241.3,2.94,97.06,0.0,1.0,8.32,-1.34,1.0,713.19,0.0,0.19,5.5,0.2872872552433975,0.664721574094151,0.0890326194307601,0.6656848342245473,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,1.44159893,15.315274547374411,2.7675e-05,0.297025965625,-9.2612360378125,245.0443927579906,1.3853,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,0.0,41.01725426314684
23,93.33,217.5,634.8,938.05,1241.3,634.8,938.05,1241.3,2.94,97.06,0.0,1.0,8.32,-1.34,1.0,713.19,0.0,0.19,5.5,0.2872872552433975,0.664721574094151,0.0890326194307601,0.6656848342245473,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,1.44159893,15.315274547374411,2.7675e-05,0.297025965625,-9.2612360378125,245.0443927579906,1.3853,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,0.0,41.01725426314684
24,79.05,20.0,600.0,836.0,1074.0,600.0,836.0,1074.0,41.08,58.92,0.0,1.0,8.32,-1.23,1.0,1428.57,9.09,4.0,10.0,0.1721442784955467,0.5626976975981914,0.0636396103067892,0.3649947389373305,5.6643077,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,2.1667273,8.701897716280333,0.9999901,0.097853067499997,-5.204359017,87.01897716280334,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,1.0,40.82390625060633
25,79.05,20.0,600.0,836.0,1074.0,600.0,836.0,1074.0,41.08,58.92,0.0,1.0,8.32,-1.23,1.0,1428.57,9.09,4.0,10.0,0.1721442784955467,0.5626976975981914,0.0636396103067892,0.3649947389373305,5.6643077,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,2.1667273,8.701897716280333,0.9999901,0.097853067499997,-5.204359017,87.01897716280334,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,1.0,40.82390625060633
26,95.45,18.63,240.52,320.1,379.08,53.59,82.86,99.35,0.0,5.0,95.0,0.1,6.8,-0.97,1.0,1020.41,20.0,0.49,25.0,-0.004808654716248,-0.1379567653389399,-0.001685654720295,-0.008102333717575,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,8.41138892,15.301856264076596,2.0000001,0.079304169250001,-9.032503662,76.50928132038298,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,0.0,1.0,40.70122982411392
27,85.0,217.5,923.08,1036.92,1153.85,923.08,1036.92,1153.85,63.81,36.19,0.0,1.0,8.32,-0.75,1.0,200.0,0.0,1.0,200.0,1.1148995843498883,0.3675525969478614,0.7865349476821121,1.5362010696916246,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,5.49246722,16.727671246666244,1.666666666666666e-08,0.000130182499997,-9.718071849166668,200.7320549599949,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,0.0,1.0,34.469257448211465
28,91.89,18.63,125.49,189.74,265.36,125.49,189.74,265.36,95.0,0.0,5.0,1.0,8.32,-1.1,1.0,139.5,80.0,0.5,20.0,0.006830880514424,0.3675525969478614,0.001976183905149,0.018685571078656,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,3.29833257,14.422554456959176,0.0,0.0,-8.910602605,28.845108913918352,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,0.0,31.70234044284596
29,46.43,108.0,9.02,13.07,17.74,9.02,13.07,17.74,0.0,86.98,13.02,2.0,14.0,-0.9,1.0,400.0,80.0,1.0,20.0,1.1690292698558433e-06,1.0,3.842538565161342e-07,2.92320631891844e-06,5.6643077,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,3.29833257,14.422554456959176,0.0,0.0,-8.910602605,28.845108913918352,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,199.1,20.21,5.192,0.472,1.0,0.0,0.0,31.5082515386173
30,40.0,0.0,25.0,25.0,25.0,187.5,340.28,479.17,100.0,81.66,18.34,2.0,14.0,-1.04,1.0,360.58,12.17,0.5,20.0,0.0001670345544005,0.1096117129386808,9.203884727313846e-05,0.0002352120237219,5.6643077,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,2.03846677,22.399498167675635,0.0,0.0,-4.169303585,44.79899633535127,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,20.21,5.192,0.472,1.0,0.0,0.0,29.579210354856123
31,96.61,18.63,240.52,320.1,379.08,53.59,82.86,99.35,85.0,0.0,15.0,1.0,14.0,-1.01,1.0,195.0,20.0,0.49,10.0,-0.004808654716248,-0.1379567653389399,-0.001685654720295,-0.008102333717575,5.6643077,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,2.03846677,22.399498167675635,0.0,0.0,-4.169303585,44.79899633535127,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,199.1,20.21,5.192,0.472,0.0,1.0,0.0,26.47962893898748
32,25.0,0.0,9.02,13.07,17.74,9.02,13.07,17.74,30.0,100.0,0.0,2.0,14.0,-1.08,1.0,200.0,9.09,0.5,30.0,1.1690292698558433e-06,1.0,3.842538565161342e-07,2.92320631891844e-06,4.17791244,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,199.1,20.21,5.192,0.472,1.0,1.0,0.0,25.648472362065128
33,96.61,18.63,278.0,287.0,296.0,278.0,287.0,296.0,0.0,81.66,18.34,2.0,14.0,-0.99,1.0,1000.0,0.0,0.49,200.0,0.0078799676666666,0.6366197723675814,0.0071616506666666,0.0086447786666666,4.72796063,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,2.03846677,22.399498167675635,0.0,0.0,-4.169303585,44.79899633535127,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,199.1,20.21,5.192,0.472,1.0,0.0,0.0,25.060741512435108
34,89.61,20.0,9.02,13.07,17.74,9.02,13.07,17.74,0.0,87.62,12.38,1.0,6.9,-0.75,1.0,700.0,20.0,0.2,20.0,1.1690292698558433e-06,1.0,3.842538565161342e-07,2.92320631891844e-06,4.72796063,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,8.41138892,15.301856264076596,2.0000001,0.079304169250001,-9.032503662,76.50928132038298,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,7.67,1.97,1.245,1.0,1.0,0.0,22.93019221667366
35,6.98,3.6,325.58237655789327,545.0,726.3572597056557,359.68358266310133,545.0,725.9433864530165,0.0,70.0,0.0,0.1,6.8,-1.5,1.0,244.9,9.09,2.25,200.0,0.0847594498455361,1.0,0.019963699108591,0.2005404284227643,4.72796063,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,5.49246722,16.727671246666244,1.666666666666666e-08,0.000130182499997,-9.718071849166668,200.7320549599949,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,1.0,0.0,22.84244519470222
36,23.04,3.6,160.0,181.7,220.0,160.0,181.7,220.0,31.03,81.66,18.34,2.0,14.0,-0.76,1.0,1020.41,80.0,1.0,10.0,0.0031409672216591,1.0,0.0021446605848506,0.0055752797625706,4.17791244,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,1.27052682,16.358833917061403,0.0,0.0,-8.718163524249999,654.3533566824561,3.7823,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,20.21,5.192,0.472,1.0,0.0,0.0,22.391064991693064
37,6.98,217.5,15.0,27.5,40.0,15.0,27.5,40.0,22.0,78.0,0.0,1.0,8.32,-0.58,1.0,10.0,80.0,0.49,15.0,1.0889218286270871e-05,1.0,1.7671458676442586e-06,3.3510321638291124e-05,4.72796063,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,6.14131032,10.622479042528589,0.000195599999999,0.8018846112499991,-9.6154000565625,42.48991617011435,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,0.0,22.389940666344664
38,59.24,3.6,5.68,8.52,12.84,33.78,76.65,128.38,0.0,91.92,8.08,0.1,6.8,-1.09,1.0,1000.0,9.09,1.0,5.0,4.369997918307931e-06,0.1646970098874495,8.559456674954956e-07,1.6623302202259565e-05,5.6643077,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,1.44159893,15.315274547374411,2.7675e-05,0.297025965625,-9.2612360378125,245.0443927579906,1.3853,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,0.0,21.55264498592248
39,0.87,20.0,45.0,52.5,65.0,45.0,52.5,65.0,30.02,57.73,0.0,1.0,6.9,-1.31,1.0,240.38,9.09,2.0,30.0,7.576637907524757e-05,1.0,4.7712938426394975e-05,0.0001437933137486,4.72796063,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,1.27052682,16.358833917061403,0.0,0.0,-8.718163524249999,654.3533566824561,3.7823,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,7.67,1.97,1.245,1.0,1.0,0.0,21.425378339389958
40,95.45,18.63,240.52,320.1,379.08,53.59,82.86,99.35,0.0,37.98,0.0,0.5,13.0,-0.97,1.0,1020.41,20.0,0.49,25.0,-0.004808654716248,-0.1379567653389399,-0.001685654720295,-0.008102333717575,4.17791244,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,1.44159893,15.315274547374411,2.7675e-05,0.297025965625,-9.2612360378125,245.0443927579906,1.3853,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,20.21,5.192,0.472,0.0,0.0,1.0,20.71307019645208
41,2.97,20.0,25.0,25.0,25.0,187.5,340.28,479.17,27.0,73.0,0.0,2.0,14.0,-0.72,1.0,20.0,9.09,2.25,7.0,0.0001670345544005,0.1096117129386808,9.203884727313846e-05,0.0002352120237219,4.72796063,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,199.1,20.21,5.192,0.472,1.0,0.0,1.0,20.226472747505564
42,76.11,0.0,5.68,8.52,12.84,33.78,76.65,128.38,0.0,87.62,12.38,0.1,6.8,-0.92,1.0,100.0,80.0,0.5,15.0,4.369997918307931e-06,0.1646970098874495,8.559456674954956e-07,1.6623302202259565e-05,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.8923141,11.8492870649751,0.0,0.0,-4.894751419999999,47.397148259900405,0.7227,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,0.0,0.0,19.675399820149487
43,6.98,18.63,80.0,101.7,130.0,80.0,101.7,130.0,0.0,96.55,3.45,2.0,14.0,-0.73,1.0,244.9,9.09,4.0,7.0,0.000550758845733,1.0,0.0002680825731063,0.0011503465099894,5.6643077,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,1.44159893,15.315274547374411,2.7675e-05,0.297025965625,-9.2612360378125,245.0443927579906,1.3853,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,20.21,5.192,0.472,1.0,0.0,0.0,18.96617486905609
